key,ES,EN
abstract_upper,Resumen,Abstract
age,edad,age
alcohol_daily_consumption,Consumo diario,Daily consumption
alcohol_upper,Alcohol,Alcohol
beer,cerveza,beer
beers_upper,Cervezas,Beers
birth_date,Fecha nacimiento,Birth date
birthdayModalSetup_action,"Por favor, escoga una fecha de nuevo",Please choose a date again
birthdayModalSetup_content,La fecha seleccionada no puede ser mayor que la fecha actual.,The selected date cannot be greater than the current date.
birthdayModalSetup_header,Fecha incorrecta,Incorrect date
blood_pressure_intro,Presión arterial (mm Hg.). Teclee al menos una toma.,Blood pressure (mmHg). Type at least one blood plessure.
blood_pressure_upper,Tensión arterial,Blood pressure
cholesterol,colesterol,cholesterol
cholesterol_total_intro,Miligramos por decilitro (mg/dL),Milligrams per deciliter (mg/dL)
cholesterol_total_upper,Colesterol total,Total cholesterol
cholesterol_upper,Colesterol,Cholesterol
cigar,puro,cigar
cigarette,cigarrillo,cigarette
cigarettes_upper,Cigarrillos,Cigarettes
cigars_upper,Puros,Cigars
cm,cm,cm
compensated_upper,Compensada,Compensated
compensatedTensionModal_action,"Por favor, asegúrese de que la cifra es correcta para poder realizar la tarificación.",Please make sure that the figure is correct in order to make the pricing.
compensatedTensionModal_content,"La diferencia entre la tensión sistólica y la tensión diástolica es menor de 20 y, por tanto, está muy descompensada.","The difference between the systolic pressure and the diastolic pressure is less than 20 and, therefore, is highly unbalanced."
compensatedTensionModal_header,Tarificación cancelada.,Canceled pricing.
constitution,Constitución,Constitution
cumulus_upper,Cúmulo,Cumulus
date_actuarial,actuarial,actuarial
date_is_not_correct,"Por favor, asegúrese de que la cifra es correcta.",Please make sure the figure is correct.
date_real,real,actual
dateRangeModalSetup_action_1,La fecha seleccionada debe estar entre el ,The selected date must be between
dateRangeModalSetup_action_2,y el ,and the
dateRangeModalSetup_content_1,"Por favor, escoga una fecha en el rango (entre ",Please choose a date in the range (between
dateRangeModalSetup_content_2,y,and
dateRangeModalSetup_content_3,años de edad),years old)
dateRangeModalSetup_header,Atención: Fecha fuera de rango,Attention: Date out of range
diastolic,diástolica,diastolic
diastolic_one_upper,Diastólica 1,Diastolic 1
diastolic_two_upper,Diastólica 2,Diastolic 2
diastolic_zero_upper,Diastólica,Diastolic
diastolicModalSetup_High_content,La tensión diastólica es muy alta para asegurar el riesgo. Debe introducir una tensión diástolica menor de,Diastolic pressure is too high to ensure risk. You should enter a diastolic pressure less than
diastolicModalSetup_Low_content,La tensión diastólica es muy baja para asegurar el riesgo. Debe introducir una tensión diástolica mayor de,Diastolic pressure is too low to ensure risk. You must introduce a diastolic pressure greater than
female_upper,Mujer,Female
fieldsOffModalSetup_action,Existen campos erróneos o sin rellenar.,There are erroneous or unfilled fields.
fieldsOffModalSetup_content,"Por favor, rellene correctamente los campos con mensajes en rojo.",Please fill in the fields with messages in red correctly.
first_take,Primera toma,First blood plessure
gender,edad,gender
gender_upper,Género,Gender
h_accidents,Accidentes,Accidents
h_consult_date,Consulta realizada el,Consultation made on
h_disability,Invalidez,Disability
h_illness,Enfermedad grave,Serious illness
h_ilt,I.L.T.,T.W.I.
h_life,Vida,Life
h_life_expectancy,Esperanza de vida según el agravamiento,Life expectancy according to aggravation
h_print,Imprimir,Print
height,Altura,height
height_measure,Altura (cm),Height (cm)
heightModalSetup_1_content,La altura introducida es muy baja. Debe introducir una altura mayor de,The entered height is too low. You must enter a height greater than
heightModalSetup_2_content,centímetros,centimeters
imc,índice de masa muscular,Mass Index
imc_initials,IMC,BMI
imcPostponeSetup_action,Ingrese nuevos datos o aplace la solicitud.,Enter new data or defer the request.
imcPostponeSetup_content,Debido a la relación peso/altura esta solicitud debe ser aplazada.,Due to the weight/height ratio this request must be deferred.
imcPostponeSetup_header,Aplazar la tarificación,Defer charging
imcRefuseSetup_action,Ingrese nuevos datos o rechace la solicitud.,Enter new data or decline the request.
